"","X","ID_individual","ID","ID_rand","Sex","x","y","Category","Year","human_1","humanlands_1","agri_1","forest_1","mires_1","water_1","mountains_1","roadens_sec1","mainroad_1","bear_1","dem_1","slope_1","roughness_1","roadbuild_1","moose_dens","Clusters","wolf_density","dist"
"1790",1790,"G40-08",132,9,"M",415501.844095863,6756720.05556121,"Available",2009,3.09946028503114,0.00958912646149371,0.0155431799695058,0.711811100465534,0.228394686228542,0.0339614956710426,0.000308611052381019,0.646099882654345,0.222334624277435,0.351505570796375,478.712720152805,2.61858070456284,24.98278775062,24.9716463941017,0.150515003240526,4,1,132162.589351147
"1791",1791,"G40-08",132,10,"M",433980.720836276,6740591.54967549,"Available",2009,3.72716590599545,0.015885077785565,0.0101232563023611,0.712911147575612,0.201014004452867,0.0599899706331533,0,0.81698262810588,0.205546822202159,0.340035329745838,377.947473737455,1.80760835583681,17.2880153043417,61.9947284409212,0.133101951020009,5,3,132162.589351147
"1792",1792,"G40-08",132,11,"M",459410.907993962,6699892.52251401,"Available",2009,4.269,0.0144179389242624,0.0445175600773906,0.760386624564073,0.118651462220092,0.061783375130077,0,0.995268834888935,0.285092351846291,0.180965108713354,304.987942518967,2.50232235738735,24.3621278640302,52.1652725635252,0.143678051606204,5,5,132162.589351147
"1793",1793,"G40-08",129,NA,"M",413303,6796044,"Established",2009,1.64279050846612,0.00583432338642791,0.00449461365521608,0.70792894217278,0.240528727754837,0.0378082606549179,0.00364050153247397,0.571802450422041,0.22987785650657,0.536079292758395,474.967525259763,1.9741707024844,18.9009950958549,17.8844994244614,0.213375123476398,4,2,132162.589351147
"1794",1794,"G40-08",129,NA,"M",449985,6669074,"Natal",2009,8.15206976030198,0.00274933925108844,0.00509184109471488,0.786441215036665,0.106570499857477,0.0986732101506187,0,0.892784157318032,0.248453446813349,0.0695752637616032,315.967808617321,2.77229839128587,26.9077185958718,14.4766220385973,0.175851937184099,5,4,132162.589351147
"1795",1795,"G40-11",190,1,"F",512002.678863917,6670966.65826905,"Available",2010,15.1547465181433,0.0442904788120533,0.0359735044018289,0.781380702153375,0.00836115608232618,0.129987330184052,0,1.18251995499675,0.347682001082382,0.102448505049979,219.607221847659,2.83619383671065,27.3928792515993,153.990221640555,0.0995760046862364,2,3,63495.6518196325
"1796",1796,"G40-11",190,2,"F",485012.587860155,6642655.387452,"Available",2010,7.85422118642205,0.0107667530405371,0.0112450027383828,0.812452786734827,0.0734399090241345,0.0921300416587845,0,1.11258048479429,0.289576722236885,0.0353302373861021,243.567073459853,2.58403841209022,25.366078695545,29.0856035383268,0.315720266501639,5,4,63495.6518196325
"1797",1797,"G40-11",190,3,"F",490456.466372276,6708050.45694821,"Available",2010,11.9825415405724,0.0158254791786462,0.0400904710199835,0.849113234376642,0.0410656712311416,0.0536547254896647,0,1.05952190972136,0.297134513389356,0.267616011097215,272.494566287469,2.75443051449309,26.6780609930637,88.9950914196498,0.0940220702694781,5,5,63495.6518196325
"1798",1798,"G40-11",190,4,"F",462363.970565668,6633443.43368978,"Available",2010,6.36683590422484,0.0186682966018173,0.0193105720964483,0.756437396779345,0.0652648300442288,0.140302834822888,0,1.02650267040575,0.301631892546299,0.0224528236184403,233.432473753175,2.64228423573562,26.1308950516127,51.5846196489961,0.26802665152747,2,5,63495.6518196325
"1799",1799,"G40-11",190,5,"F",458516.002256231,6611727.27774914,"Available",2010,8.19856256233992,0.0185014710424132,0.0392982034072453,0.735570507163915,0.0571432773990913,0.149419231497623,0,0.974899293845491,0.34829429472401,0.0095457945292438,192.631087093589,2.28808493668121,22.57135396876,54.772695232553,0.222458674812389,2,6,63495.6518196325
"1800",1800,"G40-11",190,6,"F",529213.229115343,6625226.01233558,"Available",2010,13.7045073139501,0.00973127042963535,0.0574019909133123,0.796409981415338,0.0700091912925457,0.0662877896335116,0,1.03546798157549,0.353792951253347,0.0192381462573652,146.818611892373,1.64458470160117,16.6110076256287,30.5774370072538,0.212519661368189,2,5,63495.6518196325
"1801",1801,"G40-11",190,7,"F",476412.330800124,6672783.68806559,"Available",2010,13.6655069661123,0.00308064233260011,0.00598713118377133,0.808230806081971,0.113060417236494,0.0694149710685191,0,0.993939824387461,0.259216888056142,0.0947261178414182,325.940190686521,2.71206652131747,26.6959934992659,15.0568196450381,0.130930143942576,5,4,63495.6518196325
"1802",1802,"G40-11",190,8,"F",466513.13233237,6634132.11738292,"Available",2010,6.44157036028855,0.0140757739454293,0.0168565160842148,0.759775836698528,0.0609207340400414,0.14850604967348,0,1.04390938909681,0.299413701497087,0.0235754003705377,235.956934019661,2.5734791218982,25.5021276115213,39.1850647333724,0.281301557078631,2,6,63495.6518196325
"1803",1803,"G40-11",190,9,"F",453831.028163712,6624851.59245127,"Available",2010,6.25761313346817,0.0142413852945145,0.0269642769266446,0.778189555428653,0.0610503532597237,0.119921144110793,0,1.00234113992697,0.32372022988088,0.015658026419079,221.590144325835,2.64244541400332,26.0160839489846,47.9872490548587,0.234257853110941,2,5,63495.6518196325
"1804",1804,"G40-11",190,10,"F",568549.589214171,6629220.28869087,"Available",2010,54.0979078646608,0.0168302010146666,0.171629701092601,0.69856278343727,0.0628318265591929,0.0503059652449086,0,0.992627491254404,0.410161761068114,0.0200744309265755,79.8306956530904,0.813167452492477,8.60133604517185,63.5199802408276,0.34300729001891,2,2,63495.6518196325
"1805",1805,"G40-11",190,11,"F",465220.82903368,6707938.20111996,"Available",2010,5.42406457935732,0.0127813789130824,0.0367618777387502,0.774368107721528,0.102075735604044,0.0740210493148638,0,1.01680412246312,0.283732376191403,0.231239871174067,281.873324146295,2.26707052628195,22.3545939438172,46.7453137224409,0.134357314274357,5,5,63495.6518196325
"1806",1806,"G40-11",226,NA,"F",494512,6609360,"Established",2010,13.3640924364631,0.0206567084231483,0.0581764930947317,0.770224646778426,0.0191265092360085,0.131761151282197,0,1.13237307593226,0.358014740441911,0.00928982384353442,174.067634518249,2.45250176586089,24.1537542199788,66.4472895470612,0.364457794483934,2,6,63495.6518196325
"1807",1807,"G40-11",226,NA,"F",464150,6665126,"Natal",2010,11.7046317874591,0.00342640507131928,0.00376253469073192,0.793955149401296,0.11934964369991,0.0794516175305173,0,0.930289942498432,0.252908375584269,0.0687057766063703,322.567968239566,2.89094201337706,28.4021144774267,13.424877803792,0.167116343371261,5,6,63495.6518196325
"1808",1808,"G42-10",45,1,"F",371263.183876201,6635488.18645919,"Available",2008,12.0717271489714,0.00509334604520565,0.0605192603944279,0.805028113292417,0.0204261779407047,0.108811283872588,0,0.927253593444824,0.345154479579998,0.0128719906181399,207.986080270988,3.32812438686572,32.6155471695772,41.1709349810916,0.35830025077058,6,2,17229.0761214872
"1809",1809,"G42-10",45,2,"F",324105.980659128,6705188.64135189,"Available",2008,9.4052227963486,0.00161331968217085,0.12580536456662,0.730836433270949,0.0603738398033223,0.0669783064291147,0.0144595699914261,0.740127609597073,0.33576836378477,0.0360937371472546,296.01814569793,3.5884415504468,34.427561331007,18.4588426237367,0.474571945320868,6,0,17229.0761214872
"1810",1810,"G42-10",45,3,"F",289149.019749962,6803893.21213072,"Available",2008,6.16640714410395,0.000111442265694699,0.00777174803518972,0.607381756286832,0.195696807844452,0.0118663217440957,0.17821951056063,0.48466800973557,0.0862594955764551,0.0714762761343816,708.284400106579,4.78985198123008,44.8339737277899,11.1872440057198,0.350775011141086,1,2,17229.0761214872
"1811",1811,"G42-10",45,4,"F",353907.818569349,6613050.03187928,"Available",2008,11.576442687539,0.0233672441771906,0.0850516861616512,0.684224409655009,0.0235687349770169,0.183613458404504,0,0.871867526482631,0.299666800015501,0.0054575881627068,156.286503868871,2.55671010738758,24.5847142971348,126.771768712705,0.369097931575549,2,2,17229.0761214872
"1812",1812,"G42-10",45,5,"F",363668.832347401,6657095.32406767,"Available",2008,11.3770008353928,0.001657819880239,0.0223287597273083,0.850528733598839,0.0388253333283737,0.0863179922865768,0,0.967238217293619,0.320690277825108,0.0213996256410145,256.410065404433,3.23764806297026,31.3771839539232,17.340998356808,0.411713022288828,6,2,17229.0761214872
"1813",1813,"G42-10",45,6,"F",269608.601537088,6671209.07905706,"Available",2008,357.953201915254,0.0179458433185852,0.151272847670578,0.738985954759214,0.0278719069434025,0.0387459133593595,0.027852873956607,0.64589571955809,0.530328722047187,0.00631537547615523,313.725944687111,4.53210575560857,44.289736240234,19.169895752104,0.247504647449826,3,0,17229.0761214872
"1814",1814,"G42-10",45,7,"F",261346.757532701,6566916.14977414,"Available",2008,22.1874277075441,0.0247077582794671,0.0929737036663942,0.239314527673559,0.00180148486840614,0.582695227104198,0.0603134851287144,0.236660610215214,0.447442983649041,0.000234682587397962,12.0975604726756,0.929881773544835,9.75668099225627,56.5622613534671,0.0473024374847625,3,0,17229.0761214872
"1815",1815,"G42-10",45,8,"F",283690.937902592,6786834.99906203,"Available",2008,23.1277791207037,0.000377942689768049,0.00331885615566796,0.547329893963763,0.284882746492005,0.0208274629505146,0.143316984080821,0.544422662903815,0.158232337960992,0.0599964581798537,710.886670227862,3.38404746405099,31.5069786491807,37.7046875901291,0.38963025350113,1,1,17229.0761214872
